Date,Flight number,From,To,Dep time,Arr time,Duration,Airline,Aircraft,Registration,Seat number,Seat type,Flight class,Flight reason,Note,Dep_id,Arr_id,Airline_id,Aircraft_id
22/07/2017,BT317,Riga / Riga (RIX/EVRA),Tallinn / Ulemiste (TLL/EETN),18:50:00,19:40:00,00:50:00,AirBaltic (BT/BTI),Bombardier Dash 8-400 (DH8D),YLBAQ,,3,1,1,,3623,2956,154,610
22/07/2017,BT468,Warsaw / Chopin (Okecie) (WAW/EPWA),Riga / Riga (RIX/EVRA),15:00:00,17:25:00,01:25:00,AirBaltic (BT/BTI),Bombardier Dash 8-400 (DH8D),YLBAQ,,3,1,1,,3142,3623,154,610
19/07/2017,BT362,Tallinn / Ulemiste (TLL/EETN),Riga / Riga (RIX/EVRA),06:00:00,06:45:00,00:45:00,AirBaltic (BT/BTI),Boeing 737-300 (B733),YLBBY,,1,1,1,,2956,3623,154,226
22/09/2017,FR2224,Tallinn / Ulemiste (TLL/EETN),London / Stansted (STN/EGSS),12:00:00,12:55:00,02:55:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EI-DCI,,2,1,2,,2956,2785,668,231
04/01/2018,FR2275,London / Stansted (STN/EGSS),Tallinn / Ulemiste (TLL/EETN),07:25:00,12:15:00,02:50:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EI-FIN,,1,1,1,,2785,2956,668,231
15/01/2018,FR2224,Tallinn / Ulemiste (TLL/EETN),London / Stansted (STN/EGSS),12:00:00,12:50:00,02:50:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EI-DWZ,,2,1,1,,2956,2785,668,231
20/02/2018,FR2642,London / Stansted (STN/EGSS),Riga / Riga (RIX/EVRA),06:20:00,10:55:00,02:35:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EI-DHS,,2,1,1,,2785,3623,668,231
21/02/2018,FR2643,Riga / Riga (RIX/EVRA),London / Stansted (STN/EGSS),11:20:00,12:15:00,02:55:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EI-FTW,,2,1,1,,3623,2785,668,231
21/03/2018,FR2225,London / Stansted (STN/EGSS),Tallinn / Ulemiste (TLL/EETN),06:45:00,11:35:00,02:50:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EI-EFO,,2,1,1,,2785,2956,668,231
28/03/2018,FR2224,Tallinn / Ulemiste (TLL/EETN),London / Stansted (STN/EGSS),12:00:00,12:55:00,02:55:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EI-ENB,,2,1,1,,2956,2785,668,231
02/09/2018,QF10,London / Heathrow (LHR/EGLL),Perth / Perth (PER/YPPH),13:15:00,13:00:00,16:45:00,Qantas Airways (QF/QFA),Boeing 787-9 (B789),,,3,1,1,,1618,2295,631,2088
06/09/2018,QF580,Perth / Perth (PER/YPPH),Sydney / Kingsford Smith (SYD/YSSY),12:30:00,18:35:00,04:05:00,Qantas Airways (QF/QFA),Airbus A330-200 (A332),VH-EBR,,1,1,1,,2295,2834,631,30
14/09/2018,QF411,Sydney / Kingsford Smith (SYD/YSSY),Melbourne / Tullamarine (MEL/YMML),07:30:00,09:05:00,01:35:00,Qantas Airways (QF/QFA),Airbus A330-200 (A332),VH-EBA,,1,1,1,,2834,1795,631,30
23/09/2018,QF481,Melbourne / Tullamarine (MEL/YMML),Perth / Perth (PER/YPPH),19:10:00,21:20:00,04:10:00,Qantas Airways (QF/QFA),Airbus A330-300 (A333),VH-QPB,,3,1,1,,1795,2295,631,31
26/09/2018,QF9,Perth / Perth (PER/YPPH),London / Heathrow (LHR/EGLL),18:45:00,05:05:00,17:20:00,Qantas Airways (QF/QFA),Boeing 787-9 (B789),VH-ZNB,,3,1,1,,2295,1618,631,2088
03/10/2018,FR2225,London / Stansted (STN/EGSS),Tallinn / Ulemiste (TLL/EETN),06:45:00,11:25:00,02:40:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EI-GDA,,2,1,1,,2785,2956,668,231
07/10/2018,FR2224,Tallinn / Ulemiste (TLL/EETN),London / Stansted (STN/EGSS),12:00:00,12:55:00,02:55:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EI-FRE,,1,1,1,,2956,2785,668,231
21/12/2018,FR2434,London / Stansted (STN/EGSS),Krakow / John Paul II International (KRK/EPKK),16:05:00,19:25:00,02:20:00,Ryanair (FR/RYR),Boeing 737-800 (B738),EI-DCN,,1,1,1,,2785,1489,668,231
25/12/2018,LO3924,Krakow / John Paul II International (KRK/EPKK),Warsaw / Chopin (Okecie) (WAW/EPWA),18:05:00,18:55:00,00:50:00,LOT (LO/LOT),Bombardier Dash 8-400 (DH8D),SP-EQE,,1,1,1,,1489,3142,483,610
